aAcc,bbox_mAP,bbox_mAP_50,bbox_mAP_75,mAcc,mIoU,run,segm_mAP,segm_mAP_50,segm_mAP_75,step,task
,0.141,0.301,0.114,,,det_vitscope_tiny910850,0.146,0.281,0.137,1,det
,0.178,0.36,0.157,,,det_vitscope_tiny910850,0.182,0.337,0.178,2,det
,0.198,0.389,0.179,,,det_vitscope_tiny910850,0.2,0.364,0.195,3,det
,0.222,0.424,0.205,,,det_vitscope_tiny910850,0.223,0.397,0.223,4,det
,0.228,0.43,0.214,,,det_vitscope_tiny910850,0.227,0.406,0.226,5,det
,0.242,0.446,0.232,,,det_vitscope_tiny910850,0.239,0.418,0.24,6,det
,0.251,0.46,0.246,,,det_vitscope_tiny910850,0.247,0.432,0.248,7,det
,0.255,0.462,0.253,,,det_vitscope_tiny910850,0.251,0.434,0.252,8,det
,0.297,0.514,0.304,,,det_vitscope_tiny910850,0.284,0.484,0.29,9,det
,0.3,0.517,0.306,,,det_vitscope_tiny910850,0.288,0.489,0.295,10,det
,0.302,0.519,0.309,,,det_vitscope_tiny910850,0.289,0.49,0.297,11,det
,0.302,0.519,0.311,,,det_vitscope_tiny910850,0.289,0.491,0.297,12,det
0.6122,,,,0.0894,0.0597,seg_vitscope_tiny_912582,,,,2001,seg
0.6524,,,,0.121,0.0839,seg_vitscope_tiny_912582,,,,4002,seg
0.6722,,,,0.1545,0.1131,seg_vitscope_tiny_912582,,,,6003,seg
0.6829,,,,0.1936,0.14,seg_vitscope_tiny_912582,,,,8004,seg
0.6963,,,,0.2069,0.1566,seg_vitscope_tiny_912582,,,,10005,seg
0.704,,,,0.2341,0.1745,seg_vitscope_tiny_912582,,,,12006,seg
0.7135,,,,0.2599,0.1912,seg_vitscope_tiny_912582,,,,14007,seg
0.7171,,,,0.2674,0.1993,seg_vitscope_tiny_912582,,,,16008,seg
0.7215,,,,0.2832,0.2082,seg_vitscope_tiny_912582,,,,18009,seg
0.7233,,,,0.2904,0.2208,seg_vitscope_tiny_912582,,,,20010,seg
0.7307,,,,0.3165,0.2333,seg_vitscope_tiny_912582,,,,22011,seg
0.731,,,,0.3197,0.2389,seg_vitscope_tiny_912582,,,,24012,seg
0.7314,,,,0.3288,0.2428,seg_vitscope_tiny_912582,,,,26013,seg
0.7344,,,,0.3439,0.2555,seg_vitscope_tiny_912582,,,,28014,seg
0.7395,,,,0.3446,0.2586,seg_vitscope_tiny_912582,,,,30015,seg
0.7402,,,,0.3595,0.2671,seg_vitscope_tiny_912582,,,,32016,seg
0.743,,,,0.3585,0.2697,seg_vitscope_tiny_912582,,,,34017,seg
0.7455,,,,0.3616,0.2719,seg_vitscope_tiny_912582,,,,36018,seg
0.746,,,,0.3642,0.2753,seg_vitscope_tiny_912582,,,,38019,seg
0.6072,,,,0.0803,0.0532,seg_vit_tiny_912581,,,,2001,seg
0.6411,,,,0.1053,0.075,seg_vit_tiny_912581,,,,4002,seg
0.6606,,,,0.1364,0.1,seg_vit_tiny_912581,,,,6003,seg
0.6771,,,,0.1726,0.1221,seg_vit_tiny_912581,,,,8004,seg
0.69,,,,0.1982,0.1458,seg_vit_tiny_912581,,,,10005,seg
0.7036,,,,0.2281,0.1697,seg_vit_tiny_912581,,,,12006,seg
0.6993,,,,0.2478,0.1769,seg_vit_tiny_912581,,,,14007,seg
0.7015,,,,0.2511,0.1845,seg_vit_tiny_912581,,,,16008,seg
0.7158,,,,0.2873,0.2084,seg_vit_tiny_912581,,,,18009,seg
0.7198,,,,0.2723,0.2048,seg_vit_tiny_912581,,,,20010,seg
0.7289,,,,0.2944,0.2254,seg_vit_tiny_912581,,,,22011,seg
0.7293,,,,0.3095,0.2312,seg_vit_tiny_912581,,,,24012,seg
0.735,,,,0.3323,0.2439,seg_vit_tiny_912581,,,,26013,seg
0.7416,,,,0.337,0.2537,seg_vit_tiny_912581,,,,28014,seg
0.7422,,,,0.3333,0.2533,seg_vit_tiny_912581,,,,30015,seg
0.7426,,,,0.3433,0.2606,seg_vit_tiny_912581,,,,32016,seg
0.7473,,,,0.3677,0.2722,seg_vit_tiny_912581,,,,34017,seg
0.7512,,,,0.3656,0.2754,seg_vit_tiny_912581,,,,36018,seg
0.7526,,,,0.3704,0.2802,seg_vit_tiny_912581,,,,38019,seg
